City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Iqaluit,CA,2021-05-26 22:04:32,63.7506,-68.5145,32.7,59,19,5.01
242,Broome,US,2021-05-26 22:04:32,42.2506,-75.833,80.6,80,90,1.01
243,Lasa,IT,2021-05-26 22:04:32,46.6166,10.7002,52.54,95,74,3.49
244,Klaksvik,FO,2021-05-26 22:04:33,62.2266,-6.589,41.92,76,100,17.74
245,Ranfurly,NZ,2021-05-26 22:04:33,-45.1333,170.1,33.06,69,30,4.52
246,Conceicao Do Araguaia,BR,2021-05-26 22:01:09,-8.2578,-49.2647,76.35,61,3,3.27
247,Leningradskiy,RU,2021-05-26 22:04:33,69.3833,178.4167,33.96,84,29,7.11
248,Peniche,PT,2021-05-26 22:04:34,39.3558,-9.3811,65.62,85,100,15.21
249,Balkhash,KZ,2021-05-26 22:04:34,46.844,74.9804,72.7,32,61,11.03
250,Qaqortoq,GL,2021-05-26 22:04:34,60.7167,-46.0333,36.1,98,100,2.46
251,Nanortalik,GL,2021-05-26 22:04:34,60.1432,-45.2371,35.89,96,100,5.93
252,Bulgan,MN,2021-05-26 22:04:35,48.8125,103.5347,42.6,74,100,5.5
253,Minsk,BY,2021-05-26 21:59:40,53.9,27.5667,44.35,83,15,5.68
254,Hobart,AU,2021-05-26 22:02:23,-42.8794,147.3294,46.06,74,75,1.01
255,Majene,ID,2021-05-26 22:04:35,-3.5403,118.9707,78.12,90,89,7.31
256,Puerto Del Rosario,ES,2021-05-26 22:04:35,28.5004,-13.8627,65.95,63,20,17.27
257,Chuy,UY,2021-05-26 22:04:36,-33.6971,-53.4616,54.05,79,62,8.75
258,Agadez,NE,2021-05-26 22:04:36,19.75,10.25,86.92,6,0,7.38
259,Camana,PE,2021-05-26 22:04:36,-16.6228,-72.7111,67.91,79,99,1.5
260,Gisborne,NZ,2021-05-26 22:04:36,-38.6533,178.0042,53.94,67,78,9.35
261,Portree,GB,2021-05-26 22:04:37,57.4129,-6.1942,48.85,82,53,6.87
262,Chhindwara,IN,2021-05-26 22:04:37,22.0667,78.9333,82.4,36,100,8.95
263,La Ronge,CA,2021-05-26 22:04:37,55.1001,-105.2842,44.49,36,1,6.69
264,Esik,KZ,2021-05-26 22:04:37,43.3552,77.4525,63.82,49,86,7.63
265,Korla,CN,2021-05-26 22:04:38,41.7597,86.1469,75.92,13,97,2.77
266,Saint-Francois,FR,2021-05-26 22:04:38,46.4154,3.9054,53.04,87,0,2.3
267,Mount Gambier,AU,2021-05-26 22:04:38,-37.8333,140.7667,52.99,86,83,9.13
268,Belmonte,BR,2021-05-26 22:04:39,-15.8631,-38.8828,79.3,75,0,5.88
269,Ilulissat,GL,2021-05-26 22:04:39,69.2167,-51.1,57.22,35,89,24.16
270,Linhares,BR,2021-05-26 22:04:39,-19.3911,-40.0722,70.75,86,39,5.14
271,Saint George,US,2021-05-26 22:00:30,37.1041,-113.5841,92.62,11,1,4.0
272,Codrington,AU,2021-05-26 22:04:39,-38.2667,141.9667,53.82,82,70,14.34
273,Richards Bay,ZA,2021-05-26 22:04:40,-28.783,32.0377,63.97,94,11,4.0
274,Bouar,CF,2021-05-26 22:04:40,5.934,15.596,65.7,94,97,3.2
275,Mahibadhoo,MV,2021-05-26 22:04:40,3.7833,72.9667,82.96,75,100,21.05
276,Husavik,IS,2021-05-26 22:04:41,66.0449,-17.3389,49.15,71,94,4.14
277,Palembang,ID,2021-05-26 22:01:57,-2.9167,104.7458,75.16,95,100,2.82
278,Canchungo,GW,2021-05-26 22:04:41,12.0672,-16.0333,75.85,72,59,8.19
279,Victoria,HK,2021-05-26 22:04:22,22.2855,114.1577,84.38,85,75,1.01
280,Balsas,BR,2021-05-26 22:00:22,-7.5325,-46.0356,79.05,46,1,2.95
281,Vao,NC,2021-05-26 22:04:41,-22.6667,167.4833,71.94,69,8,9.91
282,Ulladulla,AU,2021-05-26 22:04:41,-35.35,150.4667,51.87,70,0,5.44
283,Kanniyakumari,IN,2021-05-26 22:04:42,8.0833,77.5667,79.45,84,100,25.12
284,Illapel,CL,2021-05-26 22:04:42,-31.6308,-71.1653,70.03,32,0,1.36
285,Faya,SA,2021-05-26 22:04:42,18.3851,42.4509,68.52,39,1,1.77
286,Bayan,CN,2021-05-26 22:04:43,46.0833,127.4,52.99,63,60,3.78
287,Lebedinyy,RU,2021-05-26 22:04:43,58.5167,125.5167,43.79,78,89,3.44
288,Accra,GH,2021-05-26 22:04:43,5.556,-0.1969,81.9,83,30,10.92
289,Datong,CN,2021-05-26 22:04:43,40.0936,113.2914,56.77,28,96,9.48
290,Tambopata,PE,2021-05-26 22:04:44,-12.7333,-69.1833,78.21,72,13,0.81
291,Mount Isa,AU,2021-05-26 22:01:15,-20.7333,139.5,58.77,36,27,10.36
292,Altay,CN,2021-05-26 22:04:44,47.8667,88.1167,65.62,29,0,8.21
